headline_sentiment_comp,headline_sentiment_pos,headline_sentiment_neu,headline_sentiment_neg,headline_sentiment_but,text_sentiment_comp,text_sentiment_pos,text_sentiment_neu,text_sentiment_neg,text_sentiment_but
0.494,0.314,0.686,0,0,0,0,1,0,0
0.273,0.231,0.769,0,0,0,0,1,0,0
0,0,1,0,0,-0.957,0.028,0.91,0.062,0
-0.599,0,0.55,0.45,0,0.92,0.081,0.879,0.04,4
-0.649,0,0.699,0.301,0,-0.997,0.056,0.807,0.137,2
-0.34,0,0.806,0.194,0,-0.864,0.068,0.858,0.075,0
-0.34,0,0.745,0.255,0,-0.974,0.055,0.877,0.069,2
-0.402,0,0.748,0.252,0,-0.994,0.032,0.879,0.088,2
0.802,0.444,0.556,0,0,-0.998,0.076,0.801,0.123,7
-0.818,0,0.571,0.429,0,-1,0.035,0.786,0.179,2
-0.382,0.188,0.412,0.4,0,-0.997,0.054,0.731,0.215,0
0.178,0.172,0.637,0.191,0,-0.809,0.07,0.859,0.071,5
-0.681,0,0.616,0.384,0,-0.999,0.088,0.749,0.163,12
-0.477,0,0.617,0.383,0,-0.997,0.057,0.8,0.143,4
-0.691,0,0.63,0.37,0,-1,0.068,0.747,0.185,7
-0.66,0,0.672,0.328,0,-0.999,0.057,0.76,0.183,0
0.494,0.262,0.738,0,0,-0.989,0.104,0.774,0.122,5
