headline_sentiment_comp,headline_sentiment_pos,headline_sentiment_neu,headline_sentiment_neg,headline_sentiment_but,text_sentiment_comp,text_sentiment_pos,text_sentiment_neu,text_sentiment_neg,text_sentiment_but
-0.637,0,0.682,0.318,0,-0.999,0.068,0.801,0.131,6
-0.226,0.096,0.741,0.163,0,-0.992,0.077,0.832,0.092,11
0,0,1,0,0,-0.984,0.041,0.897,0.062,3
-0.599,0,0.804,0.196,0,-0.615,0.107,0.788,0.105,5
0,0,1,0,0,-0.995,0.065,0.839,0.096,4
-0.66,0,0.597,0.403,0,-0.999,0.048,0.846,0.105,6
0,0,1,0,0,-0.659,0.05,0.886,0.064,0
0.557,0.545,0.455,0,0,-0.151,0.104,0.799,0.096,2
0,0,1,0,0,-0.999,0.044,0.803,0.153,4
0,0,1,0,1,0.247,0.06,0.89,0.051,7
-0.421,0,0.763,0.237,0,-1,0.058,0.804,0.137,6
0.637,0.296,0.704,0,0,0.25,0.038,0.929,0.032,9
-0.527,0,0.672,0.328,0,-0.975,0.084,0.809,0.107,6
0,0,1,0,0,-0.999,0.055,0.845,0.1,9
0.402,0.363,0.446,0.191,0,0.998,0.128,0.804,0.068,3
-0.67,0,0.727,0.273,0,-0.99,0.061,0.851,0.088,3
-0.832,0,0.562,0.438,0,-0.999,0.067,0.808,0.125,5
-0.758,0,0.48,0.52,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
-0.052,0,0.833,0.167,0,0,0,1,0,0
-0.902,0,0.351,0.649,0,0,0,1,0,0
0.421,0.388,0.612,0,0,0,0,1,0,0
0.402,0.252,0.748,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0.998,0.114,0.829,0.056,10
0,0,1,0,0,-0.629,0.054,0.891,0.056,12
0,0,1,0,0,-0.998,0.089,0.789,0.122,8
0.202,0.13,0.87,0,0,0.964,0.103,0.881,0.017,0
-0.477,0,0.744,0.256,0,-0.998,0.1,0.757,0.143,12
-0.511,0,0.752,0.248,0,-0.992,0.067,0.834,0.1,5
0,0,1,0,0,-0.988,0.029,0.867,0.104,1
0.273,0.181,0.819,0,0,-0.82,0.058,0.88,0.062,4
-0.402,0,0.769,0.231,0,-0.994,0.061,0.86,0.079,10
0.572,0.27,0.73,0,1,-0.994,0.049,0.854,0.097,2
-0.572,0,0.709,0.291,0,-0.994,0.081,0.821,0.097,7
0,0,1,0,0,-0.992,0.139,0.707,0.154,13
-0.337,0.101,0.666,0.233,0,-0.938,0.071,0.854,0.075,6
0,0,1,0,0,-0.998,0.058,0.843,0.1,8
-0.66,0,0.597,0.403,0,-0.999,0.055,0.841,0.104,9
0.202,0.219,0.616,0.164,0,0.99,0.101,0.829,0.07,4
-0.077,0,0.827,0.173,1,0.995,0.098,0.835,0.066,5
-0.832,0,0.606,0.394,0,-1,0.075,0.759,0.166,3
0,0,1,0,0,0.952,0.092,0.827,0.081,7
-0.103,0,0.851,0.149,0,0.572,0.078,0.867,0.055,0
-0.862,0,0.422,0.578,0,-0.928,0.078,0.836,0.086,7
-0.796,0,0.585,0.415,0,-0.999,0.06,0.77,0.169,2
-0.153,0,0.873,0.127,0,0.848,0.097,0.833,0.07,2
0,0,1,0,0,0.954,0.083,0.885,0.032,0
0.178,0.159,0.841,0,0,-0.996,0.084,0.812,0.105,13
0.445,0.226,0.774,0,0,0.946,0.081,0.89,0.029,0
0,0,1,0,0,0.992,0.086,0.863,0.051,4
-0.296,0,0.761,0.239,0,-0.983,0.089,0.807,0.104,5
0,0,1,0,0,-0.543,0.056,0.883,0.061,0
-0.599,0,0.642,0.358,0,-0.999,0.08,0.797,0.123,10
0,0,1,0,0,-0.985,0.057,0.837,0.106,1
0.511,0.268,0.732,0,0,-0.982,0.071,0.847,0.081,6
-0.822,0,0.455,0.545,0,-0.998,0.075,0.765,0.16,3
-0.477,0,0.78,0.22,0,-0.983,0.067,0.806,0.127,4
0.586,0.322,0.678,0,0,0.072,0.076,0.855,0.069,2
-0.115,0,0.921,0.079,1,-0.985,0.055,0.863,0.083,5
-0.103,0.123,0.725,0.152,0,-0.974,0.012,0.923,0.065,0
0,0,1,0,0,-0.978,0.08,0.825,0.095,9
0.402,0.252,0.748,0,0,-0.998,0.088,0.776,0.136,6
0.077,0.115,0.885,0,0,0.988,0.066,0.907,0.027,3
0,0,1,0,0,-0.361,0.038,0.93,0.033,0
-0.572,0,0.515,0.485,0,-0.998,0.093,0.777,0.13,15
-0.807,0,0.578,0.422,0,-0.832,0.054,0.871,0.074,1
0.318,0.161,0.839,0,0,0.99,0.088,0.859,0.053,3
0,0,1,0,0,0.927,0.062,0.918,0.021,0
0.44,0.169,0.765,0.066,0,-0.982,0.072,0.842,0.086,6
0,0,1,0,0,0,0,1,0,0
-0.34,0,0.714,0.286,0,0,0,1,0,0
-0.572,0,0.654,0.346,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,-0.992,0.054,0.788,0.159,1
0,0,1,0,0,-0.996,0.096,0.77,0.135,5
-0.318,0,0.839,0.161,0,-0.792,0.047,0.895,0.059,1
0,0,1,0,0,-0.992,0.064,0.839,0.097,6
-0.667,0,0.594,0.406,0,0.986,0.11,0.8,0.09,7
0,0,1,0,0,-0.993,0.059,0.854,0.087,5
-0.625,0,0.611,0.389,0,-1,0.05,0.832,0.118,5
-0.494,0,0.682,0.318,0,0.103,0.068,0.862,0.069,2
-0.785,0,0.367,0.633,0,-1,0.075,0.775,0.15,11
-0.296,0,0.855,0.145,0,-0.999,0.048,0.831,0.121,6
0,0,1,0,0,-0.999,0.076,0.795,0.129,9
-0.637,0,0.658,0.342,0,-0.994,0.062,0.83,0.108,4
-0.459,0,0.769,0.231,0,-0.953,0.021,0.878,0.101,0
0.421,0.237,0.763,0,0,-0.869,0.119,0.76,0.121,13
0,0,1,0,0,-0.999,0.061,0.809,0.129,7
-0.052,0.209,0.506,0.285,0,-0.911,0.043,0.897,0.06,3
-0.494,0,0.714,0.286,0,-0.994,0.091,0.803,0.105,7
0.226,0.194,0.667,0.139,0,-0.999,0.076,0.758,0.166,1
0.226,0.16,0.84,0,0,0.064,0.061,0.888,0.052,1
0.625,0.282,0.718,0,0,-0.914,0.068,0.858,0.074,4
-0.402,0,0.828,0.172,0,-0.999,0.069,0.775,0.156,3
0,0,1,0,1,-0.976,0.072,0.817,0.111,3
0,0,1,0,0,-0.998,0.096,0.757,0.147,5
0,0,1,0,1,-0.994,0.057,0.85,0.093,5
0,0,1,0,0,0.953,0.104,0.847,0.049,0
-0.459,0,0.75,0.25,0,-0.979,0.063,0.808,0.13,1
0.542,0.318,0.559,0.123,0,0.92,0.116,0.806,0.078,0
-0.153,0.116,0.714,0.17,0,-0.997,0.064,0.836,0.1,8
-0.421,0.183,0.484,0.333,0,-0.999,0.056,0.801,0.142,5
0.586,0.351,0.517,0.132,0,0.999,0.116,0.838,0.047,5
0,0,1,0,0,0.931,0.106,0.828,0.066,2
0,0,1,0,0,-0.984,0.057,0.85,0.093,1
-0.44,0,0.674,0.326,0,-0.878,0.061,0.826,0.113,0
-0.421,0,0.641,0.359,0,0.994,0.092,0.855,0.052,4
-0.296,0,0.804,0.196,0,-0.977,0.083,0.826,0.091,6
-0.459,0,0.786,0.214,0,-0.998,0.058,0.817,0.124,4
-0.052,0,0.909,0.091,0,-0.999,0.076,0.786,0.138,7
0,0,1,0,0,0.539,0.066,0.881,0.053,0
-0.103,0.156,0.611,0.233,0,-0.999,0.068,0.808,0.124,14
0,0,1,0,0,-0.996,0.05,0.831,0.118,2
0.511,0.202,0.798,0,0,-0.51,0.092,0.823,0.084,6
0,0,1,0,0,-0.988,0.067,0.797,0.136,2
0,0,1,0,0,0.997,0.119,0.85,0.031,2
0.7,0.453,0.547,0,0,0.997,0.182,0.802,0.016,0
-0.572,0,0.684,0.316,0,0.858,0.047,0.931,0.022,2
-0.71,0,0.576,0.424,0,-0.988,0.038,0.847,0.116,0
0.226,0.221,0.621,0.159,0,0.996,0.072,0.888,0.041,7
0,0,1,0,1,-0.848,0.102,0.793,0.105,1
-0.103,0,0.909,0.091,0,0.917,0.056,0.915,0.029,0
0,0,1,0,0,0.71,0.133,0.773,0.094,0
-0.535,0.143,0.453,0.404,1,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
-0.718,0,0.5,0.5,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
-0.318,0,0.723,0.277,0,0,0,1,0,0
-0.44,0.166,0.491,0.344,0,0,0,1,0,0
0.026,0.21,0.588,0.202,0,0,0,1,0,0
-0.296,0,0.804,0.196,0,-0.902,0.052,0.873,0.075,1
-0.572,0,0.73,0.27,0,-0.998,0.064,0.806,0.13,10
-0.477,0,0.78,0.22,0,-0.999,0.069,0.808,0.123,10
0,0,1,0,0,-0.151,0.028,0.943,0.029,0
0,0,1,0,0,-0.886,0.074,0.841,0.085,1
0,0,1,0,0,-0.977,0.079,0.834,0.087,8
-0.309,0,0.842,0.158,0,-0.999,0.067,0.78,0.153,4
-0.637,0,0.658,0.342,0,-0.991,0.068,0.85,0.082,6
0,0,1,0,0,-0.938,0.102,0.791,0.108,5
-0.649,0,0.677,0.323,0,0.993,0.102,0.861,0.037,3
0.077,0.14,0.86,0,0,-0.998,0.081,0.8,0.119,10
-0.382,0.106,0.688,0.206,0,-0.983,0.038,0.871,0.092,1
-0.686,0.252,0.259,0.489,1,-0.995,0.073,0.832,0.095,12
-0.572,0,0.764,0.236,0,-0.999,0.031,0.8,0.169,1
0,0,1,0,0,-0.994,0.049,0.848,0.103,3
-0.382,0.106,0.688,0.206,0,-0.997,0.077,0.813,0.111,6
-0.052,0,0.909,0.091,0,0.041,0.058,0.881,0.061,2
